"HomeTeam","AwayTeam","HomeGoals","AwayGoals","Round","Year","Date"
"1. FC Kaiserslautern","Bayer Leverkusen",2,0,30,1989,1990-04-20 14:00:00
"Bayer Uerdingen","FC St. Pauli",1,0,30,1989,1990-04-20 14:00:00
"Waldhof Mannheim","FC Homburg",1,2,30,1989,1990-04-21 09:30:00
"1. FC Koeln","Karlsruher SC",0,5,30,1989,1990-04-21 09:30:00
"Bayern Muenchen","Fortuna Duesseldorf",0,0,30,1989,1990-04-21 09:30:00
"VfB Stuttgart","Werder Bremen",3,1,30,1989,1990-04-21 09:30:00
"VfL Bochum","Borussia Dortmund",2,3,30,1989,1990-04-21 09:30:00
"Eintracht Frankfurt","1. FC Nuernberg",5,1,30,1989,1990-04-21 09:30:00
"Hamburger SV","Borussia Moenchengladbach",3,0,30,1989,1990-04-21 09:30:00
"FC Homburg","Hamburger SV",0,1,31,1989,1990-04-27 14:00:00
"FC St. Pauli","1. FC Kaiserslautern",0,2,31,1989,1990-04-27 14:00:00
"Karlsruher SC","Waldhof Mannheim",4,0,31,1989,1990-04-28 09:30:00
"Borussia Moenchengladbach","Eintracht Frankfurt",2,1,31,1989,1990-04-28 09:30:00
"1. FC Nuernberg","VfL Bochum",2,1,31,1989,1990-04-28 09:30:00
"Borussia Dortmund","VfB Stuttgart",2,0,31,1989,1990-04-28 09:30:00
"Werder Bremen","Bayer Uerdingen",0,0,31,1989,1990-04-28 09:30:00
"Bayer Leverkusen","Bayern Muenchen",0,0,31,1989,1990-04-28 09:30:00
"Fortuna Duesseldorf","1. FC Koeln",1,1,31,1989,1990-04-28 09:30:00
"1. FC Koeln","Waldhof Mannheim",6,0,32,1989,1990-05-01 14:00:00
"1. FC Kaiserslautern","Werder Bremen",2,2,32,1989,1990-05-01 14:00:00
"VfB Stuttgart","1. FC Nuernberg",4,0,32,1989,1990-05-01 14:00:00
"VfL Bochum","Borussia Moenchengladbach",2,1,32,1989,1990-05-01 14:00:00
"Eintracht Frankfurt","FC Homburg",1,1,32,1989,1990-05-01 14:00:00
"Bayern Muenchen","FC St. Pauli",1,0,32,1989,1990-05-02 14:00:00
"Bayer Uerdingen","Borussia Dortmund",1,3,32,1989,1990-05-02 14:00:00
"Hamburger SV","Karlsruher SC",1,0,32,1989,1990-05-02 14:00:00
"Fortuna Duesseldorf","Bayer Leverkusen",2,0,32,1989,1990-05-02 14:00:00
"Waldhof Mannheim","Fortuna Duesseldorf",0,1,33,1989,1990-05-05 09:30:00
"1. FC Koeln","Hamburger SV",2,0,33,1989,1990-05-05 09:30:00
"Karlsruher SC","Eintracht Frankfurt",1,0,33,1989,1990-05-05 09:30:00
"FC Homburg","VfL Bochum",1,0,33,1989,1990-05-05 09:30:00
"Borussia Moenchengladbach","VfB Stuttgart",3,1,33,1989,1990-05-05 09:30:00
"1. FC Nuernberg","Bayer Uerdingen",1,1,33,1989,1990-05-05 09:30:00
"Borussia Dortmund","1. FC Kaiserslautern",1,1,33,1989,1990-05-05 09:30:00
"Werder Bremen","Bayern Muenchen",2,2,33,1989,1990-05-05 09:30:00
"FC St. Pauli","Bayer Leverkusen",3,0,33,1989,1990-05-05 09:30:00
"Bayer Leverkusen","Werder Bremen",1,3,34,1989,1990-05-12 09:30:00
"Bayern Muenchen","Borussia Dortmund",3,0,34,1989,1990-05-12 09:30:00
"1. FC Kaiserslautern","1. FC Nuernberg",0,2,34,1989,1990-05-12 09:30:00
"Bayer Uerdingen","Borussia Moenchengladbach",0,0,34,1989,1990-05-12 09:30:00
"VfB Stuttgart","FC Homburg",2,2,34,1989,1990-05-12 09:30:00
"VfL Bochum","Karlsruher SC",2,0,34,1989,1990-05-12 09:30:00
"Eintracht Frankfurt","1. FC Koeln",3,1,34,1989,1990-05-12 09:30:00
"Hamburger SV","Waldhof Mannheim",1,0,34,1989,1990-05-12 09:30:00
"Fortuna Duesseldorf","FC St. Pauli",7,0,34,1989,1990-05-12 09:30:00
"Borussia Dortmund","VfB Stuttgart",0,3,1,1990,1990-08-08 14:00:00
"Hertha BSC Berlin","FC St. Pauli",1,2,1,1990,1990-08-09 14:00:00
"1. FC Nuernberg","Bayer Uerdingen",1,1,1,1990,1990-08-10 09:30:00
"Bayern Muenchen","Bayer Leverkusen",1,1,1,1990,1990-08-11 09:30:00
"Eintracht Frankfurt","Karlsruher SC",3,0,1,1990,1990-08-11 09:30:00
"Hamburger SV","1. FC Kaiserslautern",1,3,1,1990,1990-08-11 09:30:00
"1. FC Koeln","Fortuna Duesseldorf",1,1,1,1990,1990-08-11 09:30:00
"Borussia Moenchengladbach","VfL Bochum",1,2,1,1990,1990-08-11 09:30:00
"Wattenscheid 09","Werder Bremen",2,0,1,1990,1990-08-11 09:30:00
"FC St. Pauli","Bayern Muenchen",0,0,2,1990,1990-08-14 14:00:00
"VfB Stuttgart","Hertha BSC Berlin",4,0,2,1990,1990-08-17 14:00:00
"Werder Bremen","Borussia Moenchengladbach",3,0,2,1990,1990-08-17 14:00:00
"VfL Bochum","1. FC Koeln",1,0,2,1990,1990-08-18 09:30:00
"Fortuna Duesseldorf","Hamburger SV",2,1,2,1990,1990-08-18 09:30:00
"1. FC Kaiserslautern","Eintracht Frankfurt",1,1,2,1990,1990-08-18 09:30:00
"Karlsruher SC","Borussia Dortmund",1,2,2,1990,1990-08-18 09:30:00
"Bayer Leverkusen","1. FC Nuernberg",2,2,2,1990,1990-08-18 09:30:00
"Bayer Uerdingen","Wattenscheid 09",0,2,2,1990,1990-08-18 09:30:00
"Borussia Dortmund","1. FC Kaiserslautern",0,2,3,1990,1990-08-24 14:00:00
"Eintracht Frankfurt","Fortuna Duesseldorf",5,1,3,1990,1990-08-24 14:00:00
"Hamburger SV","VfL Bochum",1,0,3,1990,1990-08-24 14:00:00
"Bayer Uerdingen","Bayer Leverkusen",1,1,3,1990,1990-08-25 09:30:00
"1. FC Nuernberg","FC St. Pauli",5,2,3,1990,1990-08-25 09:30:00
"Bayern Muenchen","VfB Stuttgart",2,1,3,1990,1990-08-25 09:30:00
"Hertha BSC Berlin","Karlsruher SC",1,1,3,1990,1990-08-25 09:30:00
"1. FC Koeln","Werder Bremen",1,0,3,1990,1990-08-25 09:30:00
"Wattenscheid 09","Borussia Moenchengladbach",1,1,3,1990,1990-08-25 09:30:00
"1. FC Kaiserslautern","Hertha BSC Berlin",4,3,4,1990,1990-08-31 14:00:00
"VfL Bochum","Eintracht Frankfurt",0,0,4,1990,1990-09-01 09:30:00
"Karlsruher SC","Bayern Muenchen",2,3,4,1990,1990-09-01 09:30:00
"VfB Stuttgart","1. FC Nuernberg",2,1,4,1990,1990-09-01 09:30:00
"FC St. Pauli","Bayer Uerdingen",1,1,4,1990,1990-09-01 09:30:00
"Borussia Moenchengladbach","1. FC Koeln",2,2,4,1990,1990-09-01 09:30:00
"Werder Bremen","Hamburger SV",3,1,4,1990,1990-09-01 09:30:00
"Fortuna Duesseldorf","Borussia Dortmund",0,0,4,1990,1990-09-02 12:00:00
"Bayer Leverkusen","Wattenscheid 09",2,1,4,1990,1990-09-04 14:00:00
"Bayer Uerdingen","VfB Stuttgart",2,0,5,1990,1990-09-07 14:00:00
"Bayern Muenchen","1. FC Kaiserslautern",4,0,5,1990,1990-09-07 14:00:00
"Borussia Dortmund","VfL Bochum",1,0,5,1990,1990-09-07 14:00:00
"Bayer Leverkusen","FC St. Pauli",3,1,5,1990,1990-09-08 09:30:00
"1. FC Nuernberg","Karlsruher SC",0,0,5,1990,1990-09-08 09:30:00
"Hertha BSC Berlin","Fortuna Duesseldorf",0,1,5,1990,1990-09-08 09:30:00
"Eintracht Frankfurt","Werder Bremen",0,0,5,1990,1990-09-08 09:30:00
"Hamburger SV","Borussia Moenchengladbach",3,0,5,1990,1990-09-08 09:30:00
"Wattenscheid 09","1. FC Koeln",0,3,5,1990,1990-09-08 09:30:00
"1. FC Kaiserslautern","1. FC Nuernberg",3,1,6,1990,1990-09-14 14:00:00
"Karlsruher SC","Bayer Uerdingen",2,0,6,1990,1990-09-14 14:00:00
"FC St. Pauli","Wattenscheid 09",1,1,6,1990,1990-09-14 14:00:00
"VfL Bochum","Hertha BSC Berlin",4,2,6,1990,1990-09-15 09:30:00
"Fortuna Duesseldorf","Bayern Muenchen",1,2,6,1990,1990-09-15 09:30:00
"VfB Stuttgart","Bayer Leverkusen",0,2,6,1990,1990-09-15 09:30:00
"1. FC Koeln","Hamburger SV",1,0,6,1990,1990-09-15 09:30:00
"Borussia Moenchengladbach","Eintracht Frankfurt",1,1,6,1990,1990-09-15 09:30:00
"Werder Bremen","Borussia Dortmund",1,1,6,1990,1990-09-15 09:30:00
"Wattenscheid 09","Hamburger SV",0,1,7,1990,1990-09-21 13:30:00
"FC St. Pauli","VfB Stuttgart",2,2,7,1990,1990-09-22 09:30:00
"Bayer Leverkusen","Karlsruher SC",1,0,7,1990,1990-09-22 09:30:00
"Bayer Uerdingen","1. FC Kaiserslautern",3,7,7,1990,1990-09-22 09:30:00
"Bayern Muenchen","VfL Bochum",2,2,7,1990,1990-09-22 09:30:00
"Hertha BSC Berlin","Werder Bremen",0,0,7,1990,1990-09-22 09:30:00
"Borussia Dortmund","Borussia Moenchengladbach",1,1,7,1990,1990-09-22 09:30:00
"Eintracht Frankfurt","1. FC Koeln",1,0,7,1990,1990-09-22 09:30:00
"1. FC Nuernberg","Fortuna Duesseldorf",3,0,7,1990,1990-09-23 12:00:00
"1. FC Kaiserslautern","Bayer Leverkusen",2,1,8,1990,1990-09-28 14:00:00
"Borussia Moenchengladbach","Hertha BSC Berlin",2,0,8,1990,1990-09-28 14:00:00
"Werder Bremen","Bayern Muenchen",1,0,8,1990,1990-09-28 14:00:00
"VfL Bochum","1. FC Nuernberg",0,0,8,1990,1990-09-29 09:30:00
"Fortuna Duesseldorf","Bayer Uerdingen",0,2,8,1990,1990-09-29 09:30:00
"Karlsruher SC","FC St. Pauli",1,1,8,1990,1990-09-29 09:30:00
"VfB Stuttgart","Wattenscheid 09",1,4,8,1990,1990-09-29 09:30:00
"Hamburger SV","Eintracht Frankfurt",0,1,8,1990,1990-09-29 09:30:00
"1. FC Koeln","Borussia Dortmund",0,1,8,1990,1990-09-29 09:30:00
"Bayer Uerdingen","VfL Bochum",4,1,9,1990,1990-10-05 15:00:00
"VfB Stuttgart","Karlsruher SC",2,2,9,1990,1990-10-06 10:30:00
"FC St. Pauli","1. FC Kaiserslautern",1,0,9,1990,1990-10-06 10:30:00
"Bayer Leverkusen","Fortuna Duesseldorf",1,1,9,1990,1990-10-06 10:30:00
"1. FC Nuernberg","Werder Bremen",2,3,9,1990,1990-10-06 10:30:00
"Bayern Muenchen","Borussia Moenchengladbach",4,1,9,1990,1990-10-06 10:30:00
"Hertha BSC Berlin","1. FC Koeln",0,0,9,1990,1990-10-06 10:30:00
"Borussia Dortmund","Hamburger SV",1,1,9,1990,1990-10-06 10:30:00
"Wattenscheid 09","Eintracht Frankfurt",1,0,9,1990,1990-10-06 10:30:00
"Karlsruher SC","Wattenscheid 09",1,3,10,1990,1990-10-12 15:00:00
"VfL Bochum","Bayer Leverkusen",3,1,10,1990,1990-10-13 10:30:00
"Fortuna Duesseldorf","FC St. Pauli",0,0,10,1990,1990-10-13 10:30:00
"1. FC Kaiserslautern","VfB Stuttgart",2,0,10,1990,1990-10-13 10:30:00
"Eintracht Frankfurt","Borussia Dortmund",3,1,10,1990,1990-10-13 10:30:00
"1. FC Koeln","Bayern Muenchen",4,0,10,1990,1990-10-13 10:30:00
"Borussia Moenchengladbach","1. FC Nuernberg",2,0,10,1990,1990-10-13 10:30:00
"Werder Bremen","Bayer Uerdingen",4,3,10,1990,1990-10-13 10:30:00
"Hamburger SV","Hertha BSC Berlin",2,0,10,1990,1990-10-14 13:00:00
"Wattenscheid 09","Borussia Dortmund",1,1,11,1990,1990-10-19 14:30:00
"FC St. Pauli","VfL Bochum",3,3,11,1990,1990-10-19 14:30:00
"Bayer Leverkusen","Werder Bremen",0,0,11,1990,1990-10-19 14:30:00
"Karlsruher SC","1. FC Kaiserslautern",4,2,11,1990,1990-10-20 10:30:00
"VfB Stuttgart","Fortuna Duesseldorf",1,1,11,1990,1990-10-20 10:30:00
"Bayer Uerdingen","Borussia Moenchengladbach",1,1,11,1990,1990-10-20 10:30:00
"1. FC Nuernberg","1. FC Koeln",0,4,11,1990,1990-10-20 10:30:00
"Bayern Muenchen","Hamburger SV",6,1,11,1990,1990-10-20 10:30:00
"Hertha BSC Berlin","Eintracht Frankfurt",1,0,11,1990,1990-10-20 10:30:00
"VfL Bochum","VfB Stuttgart",1,1,12,1990,1990-10-26 15:00:00
"Werder Bremen","FC St. Pauli",1,0,12,1990,1990-10-26 15:00:00
"Fortuna Duesseldorf","Karlsruher SC",5,2,12,1990,1990-10-27 10:30:00
"1. FC Kaiserslautern","Wattenscheid 09",1,1,12,1990,1990-10-27 10:30:00
"Borussia Dortmund","Hertha BSC Berlin",3,1,12,1990,1990-10-27 10:30:00
"Eintracht Frankfurt","Bayern Muenchen",1,4,12,1990,1990-10-27 10:30:00
"Hamburger SV","1. FC Nuernberg",4,0,12,1990,1990-10-27 10:30:00
"1. FC Koeln","Bayer Uerdingen",3,1,12,1990,1990-10-27 10:30:00
"Borussia Moenchengladbach","Bayer Leverkusen",1,1,12,1990,1990-10-27 10:30:00
"Wattenscheid 09","Hertha BSC Berlin",3,1,13,1990,1990-11-09 13:30:00
"1. FC Kaiserslautern","Fortuna Duesseldorf",0,0,13,1990,1990-11-10 09:30:00
"Karlsruher SC","VfL Bochum",3,2,13,1990,1990-11-10 09:30:00
"VfB Stuttgart","Werder Bremen",0,1,13,1990,1990-11-10 09:30:00
"FC St. Pauli","Borussia Moenchengladbach",1,1,13,1990,1990-11-10 09:30:00
"Bayer Leverkusen","1. FC Koeln",2,0,13,1990,1990-11-10 09:30:00
"Bayer Uerdingen","Hamburger SV",0,0,13,1990,1990-11-10 09:30:00
"1. FC Nuernberg","Eintracht Frankfurt",0,2,13,1990,1990-11-10 09:30:00
"Bayern Muenchen","Borussia Dortmund",2,3,13,1990,1990-11-10 09:30:00
"Fortuna Duesseldorf","Wattenscheid 09",2,1,14,1990,1990-11-16 14:00:00
"Borussia Dortmund","1. FC Nuernberg",0,2,14,1990,1990-11-16 14:00:00
"1. FC Koeln","FC St. Pauli",2,0,14,1990,1990-11-16 14:00:00
"VfL Bochum","1. FC Kaiserslautern",0,2,14,1990,1990-11-17 09:30:00
"Hertha BSC Berlin","Bayern Muenchen",0,0,14,1990,1990-11-17 09:30:00
"Eintracht Frankfurt","Bayer Uerdingen",4,0,14,1990,1990-11-17 09:30:00
"Hamburger SV","Bayer Leverkusen",3,1,14,1990,1990-11-17 09:30:00
"Borussia Moenchengladbach","VfB Stuttgart",2,0,14,1990,1990-11-17 09:30:00
"Werder Bremen","Karlsruher SC",2,0,14,1990,1990-11-17 09:30:00
"1. FC Kaiserslautern","Werder Bremen",1,0,15,1990,1990-11-24 09:30:00
"Karlsruher SC","Borussia Moenchengladbach",3,2,15,1990,1990-11-24 09:30:00
"VfB Stuttgart","1. FC Koeln",3,2,15,1990,1990-11-24 09:30:00
"Bayer Leverkusen","Eintracht Frankfurt",2,2,15,1990,1990-11-24 09:30:00
"Bayer Uerdingen","Borussia Dortmund",1,3,15,1990,1990-11-24 09:30:00
"1. FC Nuernberg","Hertha BSC Berlin",1,4,15,1990,1990-11-24 09:30:00
"Bayern Muenchen","Wattenscheid 09",7,0,15,1990,1990-11-24 09:30:00
"FC St. Pauli","Hamburger SV",0,2,15,1990,1990-11-25 12:00:00
"VfL Bochum","Fortuna Duesseldorf",0,0,15,1990,1990-12-01 09:30:00
"Borussia Dortmund","Bayer Leverkusen",1,1,16,1990,1990-12-07 14:00:00
"1. FC Koeln","Karlsruher SC",0,0,16,1990,1990-12-07 14:00:00
"Borussia Moenchengladbach","1. FC Kaiserslautern",2,2,16,1990,1990-12-07 14:00:00
"Bayern Muenchen","1. FC Nuernberg",1,0,16,1990,1990-12-08 09:30:00
"Hertha BSC Berlin","Bayer Uerdingen",0,0,16,1990,1990-12-08 09:30:00
"Eintracht Frankfurt","FC St. Pauli",1,1,16,1990,1990-12-08 09:30:00
"Hamburger SV","VfB Stuttgart",2,0,16,1990,1990-12-08 09:30:00
"Werder Bremen","Fortuna Duesseldorf",3,1,16,1990,1990-12-08 09:30:00
"Wattenscheid 09","VfL Bochum",0,4,16,1990,1990-12-08 09:30:00
"VfL Bochum","Werder Bremen",1,2,17,1990,1990-12-14 14:00:00
"Fortuna Duesseldorf","Borussia Moenchengladbach",4,1,17,1990,1990-12-15 09:30:00
"FC St. Pauli","Borussia Dortmund",0,2,17,1990,1990-12-15 09:30:00
"Bayer Uerdingen","Bayern Muenchen",1,1,17,1990,1990-12-15 09:30:00
"VfB Stuttgart","Eintracht Frankfurt",2,1,17,1990,1990-12-16 12:00:00
"1. FC Nuernberg","Wattenscheid 09",4,2,17,1990,1991-02-16 09:30:00
"1. FC Kaiserslautern","1. FC Koeln",2,2,17,1990,1991-03-19 14:00:00
"Karlsruher SC","Hamburger SV",2,2,17,1990,1991-03-19 14:00:00
"Bayer Leverkusen","Hertha BSC Berlin",3,1,17,1990,1991-03-19 14:00:00
"VfL Bochum","Borussia Moenchengladbach",3,0,18,1990,1991-02-23 09:30:00
"1. FC Kaiserslautern","Hamburger SV",1,0,18,1990,1991-02-23 09:30:00
"VfB Stuttgart","Borussia Dortmund",7,0,18,1990,1991-02-23 09:30:00
"Bayer Leverkusen","Bayern Muenchen",1,2,18,1990,1991-02-23 09:30:00
"Bayer Uerdingen","1. FC Nuernberg",0,0,18,1990,1991-02-23 09:30:00
"Karlsruher SC","Eintracht Frankfurt",2,2,18,1990,1991-02-26 14:00:00
"Werder Bremen","Wattenscheid 09",1,1,18,1990,1991-02-26 14:00:00
"Fortuna Duesseldorf","1. FC Koeln",0,2,18,1990,1991-02-27 14:00:00
"FC St. Pauli","Hertha BSC Berlin",2,2,18,1990,1991-03-05 14:00:00
"Wattenscheid 09","Bayer Uerdingen",0,0,19,1990,1991-03-01 13:30:00
"1. FC Nuernberg","Bayer Leverkusen",1,0,19,1990,1991-03-02 09:30:00
"Bayern Muenchen","FC St. Pauli",0,1,19,1990,1991-03-02 09:30:00
"Hertha BSC Berlin","VfB Stuttgart",0,2,19,1990,1991-03-02 09:30:00
"Borussia Dortmund","Karlsruher SC",2,2,19,1990,1991-03-02 09:30:00
"Eintracht Frankfurt","1. FC Kaiserslautern",4,3,19,1990,1991-03-02 09:30:00
"Hamburger SV","Fortuna Duesseldorf",1,0,19,1990,1991-03-02 09:30:00
"1. FC Koeln","VfL Bochum",0,0,19,1990,1991-03-02 09:30:00
"Borussia Moenchengladbach","Werder Bremen",1,1,19,1990,1991-03-03 12:00:00
"FC St. Pauli","1. FC Nuernberg",0,0,20,1990,1991-03-08 14:00:00
"Werder Bremen","1. FC Koeln",2,1,20,1990,1991-03-08 14:00:00
"VfL Bochum","Hamburger SV",0,1,20,1990,1991-03-09 09:30:00
"Fortuna Duesseldorf","Eintracht Frankfurt",1,0,20,1990,1991-03-09 09:30:00
"1. FC Kaiserslautern","Borussia Dortmund",2,2,20,1990,1991-03-09 09:30:00
"Karlsruher SC","Hertha BSC Berlin",3,0,20,1990,1991-03-09 09:30:00
"VfB Stuttgart","Bayern Muenchen",0,3,20,1990,1991-03-09 09:30:00
"Bayer Leverkusen","Bayer Uerdingen",1,0,20,1990,1991-03-09 09:30:00
"Borussia Moenchengladbach","Wattenscheid 09",1,1,20,1990,1991-03-09 09:30:00
"Wattenscheid 09","Bayer Leverkusen",1,2,21,1990,1991-03-15 13:30:00
"Bayern Muenchen","Karlsruher SC",3,0,21,1990,1991-03-15 13:30:00
"Hamburger SV","Werder Bremen",3,2,21,1990,1991-03-15 13:30:00
"Bayer Uerdingen","FC St. Pauli",2,0,21,1990,1991-03-16 09:30:00
"1. FC Nuernberg","VfB Stuttgart",0,1,21,1990,1991-03-16 09:30:00
"Hertha BSC Berlin","1. FC Kaiserslautern",0,2,21,1990,1991-03-16 09:30:00
"Borussia Dortmund","Fortuna Duesseldorf",1,1,21,1990,1991-03-16 09:30:00
"Eintracht Frankfurt","VfL Bochum",1,1,21,1990,1991-03-16 09:30:00
"1. FC Koeln","Borussia Moenchengladbach",1,3,21,1990,1991-03-16 09:30:00
"VfB Stuttgart","Bayer Uerdingen",3,1,22,1990,1991-03-22 14:00:00
"Borussia Moenchengladbach","Hamburger SV",1,1,22,1990,1991-03-22 14:00:00
"Werder Bremen","Eintracht Frankfurt",1,1,22,1990,1991-03-22 14:00:00
"VfL Bochum","Borussia Dortmund",2,2,22,1990,1991-03-23 09:30:00
"Fortuna Duesseldorf","Hertha BSC Berlin",4,2,22,1990,1991-03-23 09:30:00
"1. FC Kaiserslautern","Bayern Muenchen",2,1,22,1990,1991-03-23 09:30:00
"Karlsruher SC","1. FC Nuernberg",2,0,22,1990,1991-03-23 09:30:00
"FC St. Pauli","Bayer Leverkusen",1,0,22,1990,1991-03-23 09:30:00
"1. FC Koeln","Wattenscheid 09",1,1,22,1990,1991-03-23 09:30:00
"Bayer Leverkusen","VfB Stuttgart",0,0,23,1990,1991-04-02 13:00:00
"Bayer Uerdingen","Karlsruher SC",1,1,23,1990,1991-04-02 13:00:00
"1. FC Nuernberg","1. FC Kaiserslautern",1,4,23,1990,1991-04-02 13:00:00
"Bayern Muenchen","Fortuna Duesseldorf",0,1,23,1990,1991-04-02 13:00:00
"Hertha BSC Berlin","VfL Bochum",2,4,23,1990,1991-04-02 13:00:00
"Borussia Dortmund","Werder Bremen",1,1,23,1990,1991-04-02 13:00:00
"Wattenscheid 09","FC St. Pauli",2,2,23,1990,1991-04-03 12:30:00
"Eintracht Frankfurt","Borussia Moenchengladbach",5,1,23,1990,1991-04-03 12:30:00
"Hamburger SV","1. FC Koeln",1,1,23,1990,1991-04-03 12:30:00
"Fortuna Duesseldorf","1. FC Nuernberg",3,0,24,1990,1991-04-05 13:00:00
"Karlsruher SC","Bayer Leverkusen",2,0,24,1990,1991-04-05 13:00:00
"Werder Bremen","Hertha BSC Berlin",6,0,24,1990,1991-04-05 13:00:00
"VfL Bochum","Bayern Muenchen",1,2,24,1990,1991-04-06 08:30:00
"1. FC Kaiserslautern","Bayer Uerdingen",2,0,24,1990,1991-04-06 08:30:00
"VfB Stuttgart","FC St. Pauli",2,1,24,1990,1991-04-06 08:30:00
"Hamburger SV","Wattenscheid 09",0,0,24,1990,1991-04-06 08:30:00
"1. FC Koeln","Eintracht Frankfurt",2,1,24,1990,1991-04-06 08:30:00
"Borussia Moenchengladbach","Borussia Dortmund",2,1,24,1990,1991-04-06 08:30:00
"Wattenscheid 09","VfB Stuttgart",2,2,25,1990,1991-04-12 13:30:00
"FC St. Pauli","Karlsruher SC",2,0,25,1990,1991-04-12 13:30:00
"Hertha BSC Berlin","Borussia Moenchengladbach",1,1,25,1990,1991-04-12 13:30:00
"Bayer Leverkusen","1. FC Kaiserslautern",2,2,25,1990,1991-04-13 09:30:00
"Bayer Uerdingen","Fortuna Duesseldorf",1,2,25,1990,1991-04-13 09:30:00
"1. FC Nuernberg","VfL Bochum",3,2,25,1990,1991-04-13 09:30:00
"Bayern Muenchen","Werder Bremen",1,1,25,1990,1991-04-13 09:30:00
"Borussia Dortmund","1. FC Koeln",1,2,25,1990,1991-04-13 09:30:00
"Eintracht Frankfurt","Hamburger SV",0,6,25,1990,1991-04-13 09:30:00
"VfL Bochum","Bayer Uerdingen",0,2,26,1990,1991-04-16 14:00:00
"Karlsruher SC","VfB Stuttgart",0,0,26,1990,1991-04-16 14:00:00
"Eintracht Frankfurt","Wattenscheid 09",4,0,26,1990,1991-04-16 14:00:00
"Borussia Moenchengladbach","Bayern Muenchen",1,1,26,1990,1991-04-16 14:00:00
"Fortuna Duesseldorf","Bayer Leverkusen",0,2,26,1990,1991-04-17 14:00:00
"1. FC Kaiserslautern","FC St. Pauli",1,0,26,1990,1991-04-17 14:00:00
"Hamburger SV","Borussia Dortmund",4,0,26,1990,1991-04-17 14:00:00
"1. FC Koeln","Hertha BSC Berlin",2,1,26,1990,1991-04-17 14:00:00
"Werder Bremen","1. FC Nuernberg",0,0,26,1990,1991-04-17 14:00:00
"Wattenscheid 09","Karlsruher SC",1,1,27,1990,1991-04-19 13:30:00
"VfB Stuttgart","1. FC Kaiserslautern",2,2,27,1990,1991-04-20 09:30:00
"FC St. Pauli","Fortuna Duesseldorf",2,3,27,1990,1991-04-20 09:30:00
"Bayer Leverkusen","VfL Bochum",4,2,27,1990,1991-04-20 09:30:00
"Bayer Uerdingen","Werder Bremen",0,0,27,1990,1991-04-20 09:30:00
"1. FC Nuernberg","Borussia Moenchengladbach",2,2,27,1990,1991-04-20 09:30:00
"Bayern Muenchen","1. FC Koeln",2,2,27,1990,1991-04-20 09:30:00
"Borussia Dortmund","Eintracht Frankfurt",0,3,27,1990,1991-04-20 09:30:00
"Hertha BSC Berlin","Hamburger SV",1,4,27,1990,1991-04-26 14:00:00
"VfL Bochum","FC St. Pauli",3,0,28,1990,1991-05-03 14:00:00
"1. FC Kaiserslautern","Karlsruher SC",3,2,28,1990,1991-05-03 14:00:00
"Fortuna Duesseldorf","VfB Stuttgart",0,4,28,1990,1991-05-04 09:30:00
"Borussia Dortmund","Wattenscheid 09",2,2,28,1990,1991-05-04 09:30:00
"Eintracht Frankfurt","Hertha BSC Berlin",5,1,28,1990,1991-05-04 09:30:00
"1. FC Koeln","1. FC Nuernberg",3,1,28,1990,1991-05-04 09:30:00
"Borussia Moenchengladbach","Bayer Uerdingen",1,1,28,1990,1991-05-04 09:30:00
"Werder Bremen","Bayer Leverkusen",1,1,28,1990,1991-05-04 09:30:00
"Hamburger SV","Bayern Muenchen",2,3,28,1990,1991-05-05 12:00:00
"Karlsruher SC","Fortuna Duesseldorf",1,1,29,1990,1991-05-10 14:00:00
"VfB Stuttgart","VfL Bochum",2,2,29,1990,1991-05-10 14:00:00
"Bayer Leverkusen","Borussia Moenchengladbach",2,5,29,1990,1991-05-10 14:00:00
"FC St. Pauli","Werder Bremen",0,0,29,1990,1991-05-11 09:30:00
"Bayer Uerdingen","1. FC Koeln",0,3,29,1990,1991-05-11 09:30:00
"1. FC Nuernberg","Hamburger SV",3,1,29,1990,1991-05-11 09:30:00
"Bayern Muenchen","Eintracht Frankfurt",2,0,29,1990,1991-05-11 09:30:00
"Hertha BSC Berlin","Borussia Dortmund",2,2,29,1990,1991-05-11 09:30:00
"Wattenscheid 09","1. FC Kaiserslautern",0,0,29,1990,1991-05-11 09:30:00
"Borussia Dortmund","Bayern Muenchen",2,3,30,1990,1991-05-17 14:00:00
"Eintracht Frankfurt","1. FC Nuernberg",0,1,30,1990,1991-05-17 14:00:00
"Werder Bremen","VfB Stuttgart",0,1,30,1990,1991-05-17 14:00:00
"VfL Bochum","Karlsruher SC",0,1,30,1990,1991-05-18 09:30:00
"Fortuna Duesseldorf","1. FC Kaiserslautern",0,0,30,1990,1991-05-18 09:30:00
"Hertha BSC Berlin","Wattenscheid 09",2,3,30,1990,1991-05-18 09:30:00
"Hamburger SV","Bayer Uerdingen",2,0,30,1990,1991-05-18 09:30:00
"1. FC Koeln","Bayer Leverkusen",1,1,30,1990,1991-05-18 09:30:00
"Borussia Moenchengladbach","FC St. Pauli",1,1,30,1990,1991-05-18 09:30:00
"1. FC Kaiserslautern","VfL Bochum",4,1,31,1990,1991-05-24 14:00:00
"Bayer Uerdingen","Eintracht Frankfurt",2,3,31,1990,1991-05-24 14:00:00
"1. FC Nuernberg","Borussia Dortmund",1,1,31,1990,1991-05-24 14:00:00
"Karlsruher SC","Werder Bremen",1,1,31,1990,1991-05-25 09:30:00
