"stateur","statemb","state","age","tenure","joblost","nwhite","school12","sex","bluecol","smsa","married","dkids","dykids","yrdispl","rr","head","ui"
8.9,189,74,42,1,"slack_work","no","no","female","yes","no","yes","yes","no",5,0.5238096,"no","yes"
10.9,191,72,37,1,"other","no","no","male","yes","yes","yes","yes","no",7,0.5220126,"yes","yes"
11.7,140,61,50,1,"position_abolished","no","no","female","yes","no","no","yes","no",2,0.4660494,"no","yes"
6.1,125,43,37,15,"other","no","no","male","yes","yes","yes","yes","no",5,0.2847222,"yes","yes"
6.6,291,22,43,2,"slack_work","no","yes","male","yes","yes","yes","yes","no",10,0.6005747,"yes","yes"
6.4,197,87,29,10,"slack_work","no","yes","male","yes","no","yes","yes","yes",6,0.5,"yes","yes"
7.2,166,93,42,2,"slack_work","no","no","male","yes","yes","yes","no","no",4,0.3688889,"yes","yes"
5.9,200,59,33,1,"other","no","no","female","yes","yes","yes","yes","yes",9,0.4978355,"no","yes"
9.4,197,92,41,7,"other","no","no","male","yes","yes","yes","yes","no",3,0.4636364,"yes","yes"
9.4,147,31,21,1,"slack_work","no","no","male","yes","yes","no","yes","yes",3,0.4974093,"yes","yes"
12,205,72,46,11,"slack_work","no","no","male","yes","yes","yes","yes","no",6,0.4092827,"yes","yes"
8.5,125,21,40,1,"other","yes","no","male","yes","yes","no","no","no",1,0.5,"yes","yes"
9.1,214,23,43,2,"slack_work","no","no","male","yes","yes","yes","yes","no",3,0.5180723,"yes","yes"
9.4,136,93,28,4,"slack_work","no","no","male","yes","yes","yes","yes","yes",1,0.4193548,"yes","yes"
5.7,238,92,20,1,"slack_work","no","no","male","yes","yes","no","no","no",8,0.65,"no","no"
7.1,206,33,41,10,"slack_work","no","no","male","yes","yes","no","no","no",10,0.4578652,"no","yes"
7.3,196,35,40,19,"position_abolished","no","no","male","yes","no","no","no","no",3,0.4983923,"yes","no"
7.2,166,93,40,7,"other","yes","yes","male","yes","yes","yes","yes","yes",4,0.3942857,"yes","yes"
8.8,197,34,35,2,"slack_work","no","no","male","yes","yes","yes","yes","no",5,0.3930753,"yes","no"
6.3,130,43,44,7,"position_abolished","no","no","female","yes","yes","yes","yes","no",6,0.4006515,"no","no"
4,210,47,50,8,"slack_work","no","no","male","yes","yes","yes","no","no",8,0.4193548,"yes","no"
11.4,158,92,51,20,"other","no","no","male","yes","yes","no","no","no",1,0.4102564,"yes","yes"
6.5,180,21,36,1,"other","no","no","male","yes","yes","yes","yes","yes",4,0.5,"yes","yes"
5.7,238,92,40,8,"position_abolished","no","no","male","yes","yes","yes","yes","no",8,0.3421488,"no","no"
9.2,95,86,26,1,"other","no","yes","male","yes","yes","no","no","no",1,0.1899642,"yes","no"
4.6,208,87,23,3,"other","no","no","male","yes","yes","yes","yes","yes",8,0.5,"yes","no"
9.2,95,86,37,2,"slack_work","no","no","male","yes","no","yes","yes","no",1,0.1462069,"yes","yes"
6.3,150,59,25,1,"other","no","no","female","yes","yes","yes","no","no",3,0.5,"no","no"
9,161,33,41,15,"other","no","no","male","yes","yes","no","no","no",4,0.2927273,"yes","yes"
3.7,234,16,31,1,"other","no","no","male","yes","yes","yes","yes","yes",8,0.5014409,"yes","no"
4.1,258,22,35,3,"slack_work","yes","no","female","yes","yes","yes","yes","yes",8,0.5986842,"no","no"
7.7,213,84,37,5,"slack_work","no","no","male","yes","yes","yes","yes","yes",6,0.5923753,"yes","yes"
5.4,125,21,47,16,"other","no","no","male","yes","no","yes","no","no",2,0.3729282,"yes","no"
5.5,202,88,29,1,"slack_work","yes","no","male","yes","yes","no","no","no",10,0.5238096,"yes","no"
5.8,198,54,24,3,"other","yes","yes","male","yes","yes","no","no","no",10,0.5210084,"no","yes"
3.9,140,45,37,3,"other","no","no","male","yes","no","yes","yes","no",7,0.5022026,"yes","no"
10,136,71,32,2,"slack_work","no","no","male","yes","no","yes","yes","yes",1,0.4537314,"yes","yes"
6.5,180,21,42,5,"other","no","yes","male","yes","yes","no","no","no",4,0.45,"yes","yes"
12,205,72,21,1,"slack_work","no","no","male","yes","yes","no","yes","no",6,0.3415493,"no","no"
5.7,160,43,29,4,"other","yes","yes","female","yes","yes","yes","yes","yes",9,0.5854923,"no","yes"
8.8,197,34,33,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",5,0.4883721,"yes","yes"
3.8,207,14,46,13,"other","no","no","male","yes","yes","yes","yes","no",5,0.5031847,"yes","no"
4.6,205,52,36,7,"other","no","yes","male","yes","yes","yes","yes","yes",9,0.5425101,"yes","yes"
5.1,252,16,25,1,"slack_work","no","no","male","yes","yes","no","no","no",9,0.2763685,"no","yes"
11.7,140,61,23,1,"slack_work","no","no","male","yes","yes","no","yes","no",2,0.6157407,"no","yes"
7,158,42,34,3,"other","no","yes","male","yes","yes","yes","no","no",5,0.5636364,"no","yes"
11.4,158,92,29,2,"other","no","yes","male","yes","no","yes","yes","yes",1,0.5732899,"yes","yes"
9,192,83,35,4,"position_abolished","no","no","male","yes","no","yes","yes","no",5,0.2554348,"yes","no"
8.6,198,83,27,2,"other","no","no","male","yes","no","yes","yes","yes",6,0.5182927,"yes","yes"
8.1,158,42,31,4,"other","no","no","female","yes","no","yes","yes","no",2,0.5648148,"no","yes"
6.7,166,56,32,2,"position_abolished","no","no","male","yes","no","yes","no","no",3,0.5018587,"yes","yes"
11.4,158,92,27,6,"slack_work","no","no","male","yes","no","yes","yes","yes",1,0.4150943,"yes","no"
10.8,175,92,46,1,"position_abolished","no","no","male","yes","no","no","no","no",2,0.6496063,"yes","yes"
6.8,232,23,23,1,"slack_work","no","no","male","yes","yes","no","no","no",5,0.522449,"no","yes"
9.7,166,93,24,2,"slack_work","no","no","male","yes","yes","no","no","no",2,0.2762346,"no","yes"
8.4,203,74,24,1,"slack_work","no","no","female","yes","yes","no","no","no",6,0.5157894,"no","no"
4.7,165,57,47,2,"other","yes","yes","male","yes","yes","no","no","no",9,0.4133739,"no","yes"
6.5,180,21,47,29,"position_abolished","no","yes","male","yes","yes","yes","no","no",4,0.36,"yes","yes"
8.6,225,55,53,6,"other","no","no","female","yes","no","yes","no","no",8,0.5185185,"no","yes"
4.3,129,45,43,10,"slack_work","no","no","male","yes","no","yes","yes","no",3,0.3918129,"yes","yes"
4.4,200,35,30,1,"slack_work","no","no","male","yes","yes","no","no","no",8,0.3339731,"no","no"
5.7,140,43,45,25,"other","no","no","male","yes","yes","yes","no","no",7,0.254,"yes","yes"
6.3,194,44,35,3,"position_abolished","no","yes","male","yes","no","yes","yes","yes",5,0.3869654,"yes","no"
7.1,206,33,38,3,"slack_work","no","no","male","yes","yes","no","no","no",10,0.3438818,"yes","no"
3.9,167,54,36,15,"other","no","no","male","yes","no","no","no","no",7,0.5189003,"yes","no"
8.5,176,84,22,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",1,0.5025641,"yes","yes"
6.8,181,81,41,2,"slack_work","no","yes","male","yes","yes","no","no","no",7,0.3021978,"yes","yes"
9.7,166,93,28,2,"seasonal_job_ended","no","no","male","yes","yes","no","no","no",2,0.3935185,"no","no"
5.4,167,56,28,7,"slack_work","yes","no","female","yes","yes","yes","yes","yes",4,0.5021276,"no","yes"
4.3,176,54,41,3,"slack_work","no","yes","male","yes","yes","yes","yes","no",9,0.4632588,"yes","no"
11.7,140,61,48,16,"slack_work","no","no","male","yes","no","no","no","no",2,0.6127167,"yes","yes"
10.9,191,72,49,12,"other","no","no","female","yes","no","yes","no","no",7,0.5186916,"no","no"
7.2,170,21,35,1,"other","no","no","male","yes","yes","yes","no","no",3,0.5024155,"no","no"
8.5,176,84,30,1,"slack_work","yes","no","female","yes","no","no","yes","no",1,0.5977011,"yes","no"
7.3,196,35,40,1,"slack_work","no","no","male","yes","yes","yes","no","no",3,0.4613636,"yes","yes"
5.6,190,93,21,3,"slack_work","no","no","male","yes","yes","no","no","no",9,0.3918919,"no","no"
5.8,190,81,39,16,"other","no","no","male","yes","no","yes","yes","no",9,0.3505618,"yes","yes"
6.6,291,22,52,4,"slack_work","no","no","female","yes","yes","yes","yes","no",10,0.6,"no","no"
8.5,211,92,36,5,"other","no","no","male","yes","yes","yes","yes","yes",5,0.2636943,"yes","yes"
8.2,191,41,60,9,"other","no","no","male","yes","no","yes","yes","no",2,0.5,"yes","yes"
12.6,105,64,40,4,"slack_work","no","no","male","yes","no","yes","yes","no",2,0.1644833,"yes","yes"
12.6,105,64,54,4,"slack_work","no","no","male","yes","no","yes","no","no",2,0.1867769,"yes","yes"
3.5,156,12,34,3,"position_abolished","no","no","male","yes","no","yes","yes","no",8,0.3631124,"yes","no"
6.6,291,22,42,1,"slack_work","yes","yes","male","yes","yes","yes","yes","no",10,0.6012658,"yes","no"
12.6,105,64,32,1,"slack_work","yes","no","female","yes","no","no","yes","no",2,0.5033113,"yes","yes"
8.5,125,21,28,4,"other","no","yes","male","yes","yes","yes","yes","yes",1,0.3564103,"yes","no"
9.7,166,93,23,2,"seasonal_job_ended","no","no","female","yes","no","yes","yes","yes",2,0.3938224,"no","yes"
14.6,90,64,33,6,"slack_work","yes","no","male","yes","no","yes","yes","no",1,0.5,"yes","yes"
5,279,22,40,10,"slack_work","yes","no","male","yes","yes","yes","yes","no",9,0.3993056,"yes","yes"
6,187,33,41,1,"slack_work","yes","no","male","yes","yes","no","no","no",8,0.3396226,"yes","yes"
5.9,206,84,48,1,"other","no","yes","female","yes","yes","no","no","no",4,0.6,"yes","no"
12.6,105,64,29,4,"other","no","no","male","yes","no","yes","yes","yes",2,0.1674074,"yes","yes"
14.6,90,64,56,26,"slack_work","no","no","male","yes","no","yes","no","no",1,0.2242152,"yes","yes"
6.7,197,73,26,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",7,0.5229358,"yes","no"
5.8,245,56,36,1,"slack_work","no","yes","male","yes","yes","yes","yes","no",10,0.4092827,"yes","yes"
7.8,158,85,35,3,"slack_work","yes","yes","male","yes","no","yes","yes","no",7,0.5,"yes","yes"
9,282,14,43,13,"position_abolished","no","yes","male","yes","yes","yes","yes","yes",10,0.3556619,"yes","no"
8.5,176,84,37,7,"slack_work","no","no","male","yes","no","yes","yes","yes",1,0.5025641,"yes","yes"
6.1,163,47,27,1,"other","no","no","male","yes","yes","yes","no","no",2,0.5555556,"yes","no"
7.5,275,34,44,23,"position_abolished","no","yes","male","yes","yes","yes","no","no",9,0.5236593,"yes","yes"
5.4,125,21,42,8,"other","no","no","male","yes","yes","yes","yes","yes",2,0.5022625,"yes","yes"
6.3,149,47,25,3,"other","no","no","male","yes","yes","no","no","no",1,0.4955224,"yes","yes"
6.3,149,47,55,1,"slack_work","no","no","male","yes","no","yes","yes","no",1,0.318618,"yes","no"
7.2,166,93,31,2,"slack_work","no","no","female","yes","yes","yes","yes","yes",4,0.3928571,"no","yes"
5.7,140,43,43,5,"position_abolished","no","no","male","yes","no","yes","yes","no",7,0.3489011,"yes","yes"
6.1,163,47,27,8,"slack_work","no","no","male","yes","no","yes","yes","yes",2,0.4356436,"yes","yes"
14.6,90,64,28,3,"other","no","no","male","yes","no","no","yes","no",1,0.3144654,"no","yes"
6.3,149,47,39,4,"slack_work","no","yes","female","yes","yes","no","yes","no",1,0.3961814,"yes","yes"
6.3,149,47,25,2,"slack_work","no","no","male","yes","yes","no","no","no",1,0.4955224,"no","yes"
5.4,280,23,42,20,"slack_work","no","no","male","yes","yes","yes","yes","no",9,0.5182186,"yes","yes"
6.1,163,47,22,2,"slack_work","no","yes","male","yes","no","yes","no","no",2,0.5529801,"yes","yes"
10.8,175,92,23,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",2,0.6517413,"yes","yes"
6.1,163,47,27,2,"other","no","no","male","yes","no","yes","yes","yes",2,0.5518519,"yes","yes"
8.6,145,64,31,4,"slack_work","yes","no","female","yes","no","no","no","no",10,0.5,"no","yes"
8.2,197,34,32,3,"other","yes","no","male","yes","yes","no","no","no",6,0.4389671,"yes","no"
11.5,205,72,43,18,"other","no","no","male","yes","yes","yes","no","no",4,0.41,"yes","yes"
6,247,92,35,6,"other","no","yes","male","yes","no","no","no","no",10,0.4113924,"yes","yes"
5.7,203,22,25,1,"slack_work","yes","no","male","yes","yes","no","yes","no",4,0.6,"no","no"
7.3,220,71,32,2,"slack_work","yes","yes","male","yes","no","yes","yes","yes",10,0.5,"yes","yes"
7.7,204,71,56,1,"other","no","no","female","yes","no","yes","no","no",7,0.4945055,"yes","yes"
9,197,73,26,2,"slack_work","no","no","female","yes","yes","yes","no","no",2,0.5185185,"no","yes"
7.7,147,74,26,2,"slack_work","no","yes","male","yes","yes","no","no","no",1,0.5197133,"no","yes"
7.2,168,12,34,2,"slack_work","no","no","male","yes","yes","yes","no","no",10,0.1683544,"yes","yes"
4.6,176,73,59,12,"other","no","no","male","yes","yes","yes","no","no",1,0.3783784,"yes","no"
4.6,176,73,45,2,"other","no","no","male","yes","no","yes","no","no",1,0.5025641,"yes","no"
5.4,280,23,39,5,"slack_work","no","no","male","yes","yes","yes","yes","yes",9,0.5197569,"yes","no"
5.6,190,93,43,3,"other","no","no","female","yes","yes","yes","no","no",9,0.3939394,"no","no"
6.3,149,47,23,1,"slack_work","no","yes","male","yes","no","yes","no","no",1,0.4955224,"yes","yes"
8.1,171,81,44,23,"position_abolished","no","no","male","yes","no","yes","no","no",5,0.2140127,"yes","yes"
9,197,73,32,3,"slack_work","no","no","male","yes","no","no","no","no",2,0.4930556,"yes","yes"
7.2,166,93,26,2,"other","no","no","male","yes","yes","no","no","no",4,0.3928571,"no","no"
6.6,130,62,39,18,"other","yes","no","female","yes","yes","yes","yes","no",6,0.4190476,"no","yes"
10.3,190,23,26,3,"other","no","no","male","yes","no","yes","no","no",1,0.5194175,"yes","yes"
6,187,33,21,1,"slack_work","yes","no","male","yes","yes","no","no","no",8,0.4879725,"yes","yes"
6.4,182,13,42,4,"slack_work","no","no","male","yes","no","yes","no","no",10,0.4044944,"no","no"
6.5,180,21,43,3,"slack_work","yes","yes","male","yes","yes","yes","yes","no",4,0.5,"yes","yes"
9.7,166,93,38,8,"slack_work","no","no","male","yes","yes","yes","yes","no",2,0.3935185,"yes","no"
11.5,205,72,23,1,"slack_work","no","no","male","yes","yes","yes","yes","yes",4,0.5205882,"yes","yes"
3.5,156,12,22,1,"slack_work","no","no","male","yes","yes","no","no","no",8,0.3631124,"yes","no"
5.7,238,92,50,2,"slack_work","no","yes","male","yes","no","yes","yes","no",8,0.65,"yes","no"
5.2,160,62,47,16,"other","yes","no","female","yes","yes","no","no","no",9,0.4049587,"yes","yes"
7.5,145,85,46,5,"position_abolished","no","no","male","yes","no","yes","yes","no",3,0.3409091,"yes","yes"
6,193,87,57,33,"other","no","no","male","yes","no","yes","no","no",5,0.3321617,"yes","no"
12.3,147,31,32,10,"slack_work","no","no","male","yes","yes","no","no","no",1,0.367713,"no","yes"
12.2,158,31,55,3,"slack_work","no","no","female","yes","yes","yes","no","no",2,0.4977974,"no","yes"
8,120,62,39,10,"slack_work","no","no","female","yes","no","yes","yes","yes",5,0.4,"no","yes"
9.7,146,42,35,11,"slack_work","no","no","male","yes","no","yes","yes","no",1,0.4865672,"yes","yes"
5.2,160,62,44,2,"other","no","no","male","yes","no","yes","yes","yes",9,0.407767,"yes","yes"
8.2,197,34,50,1,"slack_work","no","no","male","yes","yes","yes","yes","no",6,0.225573,"yes","yes"
11.4,168,33,21,3,"other","no","no","male","yes","yes","no","no","no",2,0.502463,"no","no"
7.1,206,33,27,3,"slack_work","no","no","male","yes","yes","yes","yes","yes",10,0.2650406,"yes","yes"
6.3,150,59,23,3,"other","no","no","male","yes","yes","yes","yes","yes",3,0.4983923,"yes","no"
9.7,146,42,32,5,"slack_work","no","no","male","yes","no","yes","yes","yes",1,0.4179487,"yes","yes"
13,225,55,25,3,"position_abolished","no","no","male","yes","no","yes","no","no",4,0.4054054,"yes","no"
8,168,74,46,28,"other","no","no","female","yes","yes","yes","no","no",2,0.5198238,"no","yes"
3.4,140,45,40,16,"position_abolished","no","no","male","yes","no","yes","yes","no",10,0.3512658,"yes","no"
14.6,90,64,30,7,"other","no","no","female","yes","no","no","yes","yes",1,0.5,"yes","yes"
9.9,105,43,25,7,"slack_work","no","no","male","yes","yes","yes","yes","yes",2,0.1992945,"yes","yes"
5.2,129,45,33,2,"other","no","yes","female","yes","no","yes","yes","yes",4,0.5,"no","yes"
10.2,130,64,47,7,"slack_work","no","no","male","yes","no","no","no","no",6,0.3514286,"yes","yes"
6.8,150,59,22,2,"slack_work","yes","no","male","yes","yes","no","yes","no",4,0.5,"no","no"
12.3,147,31,33,2,"other","no","no","male","yes","no","yes","yes","yes",1,0.5,"yes","yes"
6,156,16,37,1,"position_abolished","no","no","male","yes","yes","yes","yes","no",2,0.223545,"yes","yes"
11.7,115,64,21,1,"slack_work","no","no","male","yes","no","no","yes","no",5,0.5,"no","yes"
5.2,197,44,37,1,"slack_work","no","no","male","yes","yes","yes","yes","no",6,0.3589251,"yes","yes"
9.7,166,93,23,3,"slack_work","no","yes","male","yes","yes","no","no","no",2,0.3941799,"yes","no"
6,156,16,26,5,"seasonal_job_ended","no","no","male","yes","yes","no","yes","no",2,0.5,"no","no"
5.1,166,93,43,7,"seasonal_job_ended","no","no","male","yes","yes","no","no","no",8,0.3920863,"yes","no"
3.2,223,95,43,2,"slack_work","yes","no","male","yes","yes","yes","yes","no",7,0.1860678,"yes","no"
8.1,147,31,55,30,"other","no","no","male","yes","yes","yes","yes","no",5,0.4881356,"yes","yes"
14.6,90,64,34,15,"slack_work","no","no","female","yes","no","yes","yes","no",1,0.502994,"no","no"
5.3,96,32,25,2,"other","no","no","male","yes","yes","yes","yes","yes",7,0.56,"yes","no"
6.8,232,23,54,11,"other","no","no","male","yes","yes","yes","yes","no",5,0.3318777,"yes","yes"
10.3,190,23,49,9,"other","no","no","male","yes","yes","no","no","no",1,0.5210084,"no","yes"
7.8,146,16,39,4,"slack_work","no","yes","female","yes","yes","yes","yes","no",1,0.5,"no","no"
7.5,210,93,54,8,"position_abolished","no","no","female","yes","yes","no","no","no",10,0.350211,"yes","yes"
7.3,220,71,37,1,"other","no","yes","female","yes","yes","yes","yes","yes",10,0.5,"no","yes"
8.8,158,81,44,4,"other","no","no","male","yes","no","no","yes","no",2,0.3958333,"yes","yes"
6.1,138,54,50,3,"slack_work","no","no","male","yes","no","yes","no","no",2,0.5185185,"yes","yes"
9.3,140,61,58,4,"slack_work","no","no","female","yes","no","yes","no","no",3,0.5291971,"no","yes"
9.7,166,93,35,6,"other","no","no","male","yes","yes","yes","yes","yes",2,0.2762346,"yes","yes"
11.7,140,61,47,3,"position_abolished","yes","yes","female","yes","yes","yes","yes","no",2,0.4114441,"no","yes"
7.2,260,21,30,1,"slack_work","no","no","male","yes","yes","no","yes","yes",10,0.4981949,"yes","yes"
8.9,147,31,26,7,"slack_work","no","no","male","yes","no","yes","yes","no",4,0.5,"yes","yes"
8.6,225,55,32,13,"other","no","no","male","yes","no","no","no","no",8,0.5192308,"yes","yes"
4.4,200,35,37,7,"slack_work","no","no","male","yes","no","no","no","no",8,0.5,"yes","no"
5.7,184,31,44,17,"other","yes","no","male","yes","yes","yes","no","no",9,0.4763407,"yes","yes"
6.4,213,84,32,2,"slack_work","no","no","male","yes","no","yes","no","no",7,0.6009175,"no","no"
3.1,225,15,20,2,"other","no","no","male","yes","yes","yes","no","no",7,0.4505495,"yes","yes"
10.8,188,94,31,1,"other","no","no","male","yes","yes","no","no","no",5,0.4915254,"no","yes"
4.5,184,56,26,5,"other","yes","no","female","yes","no","yes","yes","yes",6,0.5031056,"no","no"
6.8,232,23,29,8,"slack_work","no","no","female","yes","yes","yes","yes","no",5,0.5186104,"no","yes"
6.9,193,81,50,1,"other","no","no","female","yes","no","yes","no","no",10,0.4873418,"no","yes"
11.9,118,57,31,2,"other","no","no","female","yes","yes","yes","no","no",1,0.5,"no","yes"
12.9,140,61,37,1,"position_abolished","no","no","male","yes","no","yes","yes","no",1,0.1997439,"yes","yes"
7,143,42,46,2,"slack_work","no","no","female","yes","yes","yes","yes","no",3,0.3785166,"no","yes"
7.5,210,93,31,2,"slack_work","no","yes","male","yes","yes","no","yes","yes",10,0.3939394,"yes","yes"
11.7,140,61,28,6,"other","no","no","male","yes","no","yes","yes","yes",2,0.4660494,"yes","yes"
6.3,170,85,37,5,"slack_work","no","no","female","yes","yes","no","no","no",9,0.5,"no","yes"
12.9,140,61,24,1,"seasonal_job_ended","no","yes","male","yes","no","yes","no","no",1,0.4508671,"yes","no"
9.2,166,87,42,7,"position_abolished","no","no","male","yes","no","yes","yes","no",2,0.2071759,"yes","yes"
4.1,236,56,32,1,"other","no","yes","male","yes","yes","yes","yes","yes",9,0.5,"yes","no"
11.2,178,91,26,1,"position_abolished","no","no","male","yes","yes","yes","yes","yes",2,0.341637,"yes","no"
6.9,291,23,27,3,"other","no","no","female","yes","yes","yes","no","no",10,0.5189874,"no","yes"
14.3,182,34,45,16,"other","no","no","male","yes","no","yes","yes","no",1,0.4787736,"yes","yes"
5.4,167,56,36,12,"other","yes","no","male","yes","no","yes","yes","yes",4,0.5018587,"yes","yes"
9.4,136,93,37,1,"other","no","no","male","yes","no","yes","yes","no",1,0.4198895,"yes","yes"
4.1,236,56,59,15,"other","no","no","male","yes","no","yes","no","no",9,0.5,"yes","yes"
7.2,170,21,59,35,"other","yes","no","male","yes","yes","yes","no","no",3,0.5,"yes","yes"
7.2,166,93,42,2,"slack_work","no","no","male","yes","yes","yes","yes","no",4,0.2075,"yes","no"
9.7,166,93,49,22,"other","yes","no","male","yes","yes","yes","yes","no",2,0.3950617,"yes","yes"
14.7,206,53,56,8,"other","yes","no","male","yes","yes","no","no","no",1,0.5636364,"yes","yes"
8.9,120,63,60,5,"other","no","no","female","yes","no","no","no","no",4,0.5409091,"yes","yes"
12.1,163,91,22,3,"other","no","no","male","yes","no","no","no","no",1,0.5210527,"yes","yes"
6.4,182,13,39,5,"other","no","yes","female","yes","no","yes","yes","no",10,0.5198556,"no","yes"
13.7,90,63,41,3,"slack_work","yes","yes","male","yes","yes","no","yes","no",2,0.2921687,"yes","yes"
7.8,158,22,46,9,"slack_work","no","no","female","yes","yes","yes","yes","no",2,0.6666667,"no","yes"
5.4,125,21,36,3,"seasonal_job_ended","no","no","male","yes","yes","yes","yes","yes",2,0.5026455,"yes","no"
8,224,23,42,3,"seasonal_job_ended","no","no","male","yes","yes","yes","no","no",4,0.52,"yes","yes"
7.8,146,16,35,5,"other","no","no","male","yes","yes","yes","yes","no",1,0.4565826,"yes","yes"
6,272,14,32,2,"slack_work","no","no","female","yes","yes","no","no","no",9,0.5,"no","yes"
5.8,166,93,30,5,"slack_work","yes","no","female","yes","yes","yes","yes","yes",6,0.392283,"no","yes"
7.5,145,85,42,19,"other","no","no","male","yes","no","yes","yes","yes",3,0.2415459,"yes","no"
5.2,165,83,27,2,"slack_work","no","no","male","yes","no","no","no","no",1,0.5197133,"yes","no"
7.8,166,93,32,7,"other","no","no","female","yes","yes","yes","yes","no",3,0.3922414,"no","yes"
4,228,22,38,10,"seasonal_job_ended","no","no","male","yes","yes","no","no","no",6,0.5699208,"no","yes"
6.4,197,87,35,15,"other","no","yes","male","yes","no","yes","yes","yes",6,0.5,"yes","yes"
6.7,166,85,36,12,"other","no","no","male","yes","no","yes","yes","yes",8,0.4736842,"yes","no"
9.2,276,34,23,1,"slack_work","yes","yes","female","yes","yes","no","no","no",10,0.5240384,"no","yes"
6,157,31,41,9,"other","no","no","male","yes","yes","yes","yes","no",7,0.2513181,"yes","yes"
11.7,148,33,39,15,"other","no","no","male","yes","yes","yes","no","no",1,0.4230769,"yes","yes"
4.1,258,22,59,6,"slack_work","no","no","male","yes","yes","yes","no","no",8,0.5371703,"no","yes"
9.7,166,93,29,7,"seasonal_job_ended","no","no","female","yes","no","yes","yes","yes",2,0.3925926,"no","yes"
5.4,118,57,36,10,"other","no","no","male","yes","yes","yes","yes","no",2,0.4057508,"yes","yes"
7,189,74,45,7,"slack_work","no","yes","male","yes","yes","yes","yes","no",4,0.3258621,"yes","no"
11.9,110,62,39,15,"slack_work","no","no","male","yes","yes","yes","no","no",1,0.3445378,"yes","yes"
7.3,225,59,36,1,"slack_work","no","no","male","yes","yes","yes","yes","no",10,0.4980237,"yes","no"
6.8,150,59,27,5,"other","no","no","male","yes","yes","yes","no","no",4,0.5,"yes","yes"
5.3,166,93,22,2,"slack_work","no","no","male","yes","yes","no","no","no",7,0.3318681,"yes","no"
11.8,205,72,31,2,"slack_work","yes","no","male","yes","yes","yes","yes","yes",2,0.4258189,"yes","yes"
5.3,155,86,27,1,"other","no","no","male","yes","no","yes","yes","yes",9,0.1636829,"yes","no"
5.6,190,93,26,1,"slack_work","no","no","male","yes","yes","no","no","no",9,0.3951368,"yes","yes"
12.4,183,72,31,5,"slack_work","yes","no","male","yes","yes","yes","yes","no",1,0.5205128,"yes","yes"
5,214,22,24,3,"slack_work","no","yes","female","yes","yes","yes","no","no",5,0.6,"no","yes"
7.8,158,88,22,1,"slack_work","no","no","male","yes","yes","no","no","no",3,0.5212355,"yes","no"
5.5,120,46,56,4,"slack_work","no","no","male","yes","no","yes","yes","no",4,0.54,"yes","no"
5.8,145,62,42,18,"other","no","yes","female","yes","no","no","no","no",7,0.394309,"yes","yes"
5.4,125,21,35,2,"slack_work","no","yes","female","yes","yes","no","yes","yes",2,0.5,"yes","no"
11.6,84,32,28,3,"slack_work","no","no","male","yes","yes","yes","yes","yes",1,0.2107623,"yes","yes"
8,168,74,58,20,"other","no","no","male","yes","no","yes","no","no",2,0.5206186,"yes","yes"
10.1,130,85,20,1,"other","no","no","male","yes","no","yes","yes","yes",1,0.4982079,"yes","no"
4.5,266,23,28,9,"slack_work","no","no","male","yes","yes","no","no","no",8,0.518732,"no","yes"
5.1,180,21,35,6,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.327044,"yes","yes"
10,156,94,41,10,"other","no","no","male","yes","no","yes","yes","no",3,0.1303298,"yes","yes"
8.9,189,74,56,5,"other","no","no","male","yes","yes","yes","no","no",5,0.4305556,"yes","yes"
5.8,166,93,26,4,"position_abolished","no","no","male","yes","yes","yes","yes","yes",6,0.2764085,"yes","yes"
5.2,160,62,29,4,"slack_work","no","yes","male","yes","no","no","no","no",9,0.4048583,"no","yes"
7.6,166,87,46,7,"position_abolished","no","no","male","yes","yes","yes","no","no",1,0.2765321,"yes","yes"
11.8,205,72,37,17,"other","no","no","male","yes","yes","yes","yes","no",2,0.5205047,"yes","yes"
6.6,224,74,36,1,"slack_work","no","no","male","yes","yes","no","no","no",10,0.2036824,"no","yes"
5.9,200,59,44,10,"position_abolished","no","yes","male","yes","yes","yes","no","no",9,0.3340081,"yes","no"
4,255,14,21,3,"other","no","no","male","yes","yes","yes","yes","yes",8,0.5,"yes","no"
12.4,183,72,33,4,"slack_work","no","yes","male","yes","yes","yes","yes","yes",1,0.4573991,"yes","yes"
11.8,205,23,34,2,"other","no","no","male","yes","yes","yes","yes","yes",2,0.5185185,"yes","yes"
8.2,190,91,43,2,"other","no","no","male","yes","yes","no","no","no",5,0.5081522,"yes","no"
18,211,55,22,1,"other","no","no","male","yes","no","no","no","no",2,0.521605,"no","yes"
9,282,14,29,1,"slack_work","yes","no","male","yes","yes","yes","yes","yes",10,0.5021097,"yes","no"
4.3,214,87,59,15,"slack_work","no","no","male","yes","no","yes","no","no",9,0.5,"yes","yes"
7.7,293,53,49,7,"slack_work","yes","no","male","yes","yes","yes","no","no",10,0.4059754,"yes","yes"
8.9,120,63,23,3,"other","no","no","female","yes","yes","no","no","no",4,0.5407407,"no","no"
7.2,170,21,35,14,"other","no","no","female","yes","no","yes","yes","no",3,0.5,"no","yes"
